ID,Jugador,Sucursal,Puntaje,Nivel,Completados,Cancelados,NoEntregados
19,josue gomez,Sucursal 1,1510,3,15,3,3
15,Juan Alvarez,Sucursal 1,1390,3,14,2,1
18,Juan Alvarez,Sucursal 1,1300,3,12,0,5
22,josue gomez,Sucursal 1,960,3,14,3,12
21,Juan Alvarez,Sucursal 1,920,3,14,1,12
1,Juan Alvarez,Sucursal 1,0,1,0,0,0
4,Juan Alvarez,Sucursal 1,0,1,0,0,0
5,Juan Alvarez,Sucursal 1,0,1,0,0,0
3,Juan Alvarez,Sucursal 1,0,1,0,0,0
2,Juan Alvarez,Sucursal 1,0,1,0,0,0
12,Juan Alvarez,Sucursal 1,-100,1,0,0,2
6,josue gomez,Sucursal 1,-100,1,0,0,2
9,Juan Alvarez,Sucursal 1,-100,1,0,0,2
13,Juan Alvarez,Sucursal 1,-100,1,0,0,2
11,Juan Alvarez,Sucursal 1,-250,1,0,0,5
8,Juan Alvarez,Sucursal 1,-250,1,0,0,5
10,Juan Alvarez,Sucursal 1,-300,1,0,0,6
14,Juan Alvarez,Sucursal 1,-350,1,0,0,7
7,Juan Alvarez,Sucursal 1,-1000,1,0,0,20
